price,id
14974.574473192744,188533
75927.65752165545,188534
62908.81213861621,188535
40178.13721024984,188536
41727.03614126331,188537
13929.170587374469,188538
19.711624766191136,188539
54617.6069013278,188540
76985.40869665441,188541
38777.405753674386,188542
43207.339017214166,188543
19.711624766191136,188544
63436.31580481085,188545
75064.71914101012,188546
19.711624766191136,188547
74717.6231037966,188548
33838.48975275304,188549
19.711624766191136,188550
66833.19247569732,188551
59219.030307404195,188552
59562.01058700106,188553
41727.03614186164,188554
37748.46492041352,188555
30408.68697011719,188556
5576.914859083884,188557
76723.37176448136,188558
12367.924361279274,188559
15263.363864282546,188560
73624.20197553372,188561
11358.190426305244,188562
73109.73155915491,188563
81573.79885291563,188564
33308.242244002366,188565
41041.07558422126,188566
14612.387300458291,188567
66018.27133430903,188568
19.711624766191136,188569
19.711624766191136,188570
43098.957253174005,188571
70537.3794742699,188572
24235.041975393848,188573
46185.77975241262,188574
54074.32614024132,188575
45431.22314248664,188576
19.711624766191136,188577
14528.700114111407,188578
43210.768823727354,188579
45156.83891907275,188580
72595.26114294287,188581
23703.422544109555,188582
73624.20197592325,188583
30065.706698168426,188584
41853.25288326058,188585
31153.64013778214,188586
50644.5233651409,188587
39892.09165601893,188588
19.711624766191136,188589
36239.35169708743,188590
9715.314895691812,188591
35553.39113567026,188592
21731.971907314102,188593
62840.90204246881,188594
6743.047806217078,188595
23789.853577460846,188596
31029.48127635704,188597
41041.075581406185,188598
16346.495581285735,188599
48929.62197650355,188600
56132.207807887055,188601
49272.602253596255,188602
81496.97127120897,188603
19.711624766191136,188604
29949.09340078778,188605
42412.99669809384,188606
66704.23189380796,188607
5526.839744984672,188608
59904.99086530431,188609
56749.572308622824,188610
19296.125974916526,188611
54897.47880926411,188612
41521.24797471645,188613
19.711624766191136,188614
43098.957251557855,188615
73281.22169821223,188616
38811.70378032389,188617
26635.9039180034,188618
75682.08364244558,188619
37764.92796940504,188620
33152.52919566814,188621
81705.50327962714,188622
64802.06327361398,188623
32061.165954732445,188624
21834.180028832343,188625
19.711624766191136,188626
77810.61924623478,188627
79617.43934779926,188628
43098.95724638447,188629
36851.91447027464,188630
78875.91599120428,188631
47456.178705251994,188632
62840.9020424985,188633
